196.73,1.1836,1.1497,1.0081
1.2369,176.94,3.3687,18.524
59.594,1.839,129.05,9.5828
1.0668,189.02,0.95841,9.025
1.1937,57.001,140.93,0.93998
96.105,1.1563,101.67,1.1342
4.0471,1.7369,5.4409,188.84
1.1223,105.55,84.208,9.193
0.94776,1.0101,197.27,0.84294
1.247,1.1213,196.67,1.0286
1.1745,4.9069,3.5972,190.39
1.2283,196.61,1.1689,1.0581
195.86,1.7835,1.3032,1.121
1.0786,0.98037,197.07,0.93973
1.2344,196.51,1.1745,1.1506
17.691,1.2832,180,1.0947
1.276,2.8063,86.131,109.85
1.2214,136.61,1.091,61.149
1.071,1.2189,196.69,1.0839
183.06,0.94009,15.011,1.0604
3.1375,18.932,162.76,15.237
1.1558,110.47,1.1407,87.299
1.7689,1.1357,1.0344,196.13
1.1914,1.7423,7.7462,189.39
1.6318,14.775,0.92444,182.74
1.3292,196.72,1.0236,0.99305
1.1376,190.78,1.4083,6.7467
196.84,1.0601,1.1706,0.99891
6.3205,1.057,187.01,5.6836
1.2879,1.2217,196.5,1.0632
197.13,0.97487,1.0302,0.9331
1.0614,196.46,0.96444,1.5825
196.89,1.082,1.0538,1.041
169.07,1.6581,28.139,1.1973
1.3539,1.395,1.0935,196.23
1.1906,11.271,78.809,108.8
197.19,0.95557,1.0141,0.91051
2.9716,1.1753,1.0722,194.85
7.361,162.36,29.364,0.98116
153.94,43.931,1.1623,1.0357
190.11,1.2995,7.7445,0.91469
76.586,0.9786,1.3333,121.17
1.5853,1.3793,194.02,3.0847
3.7766,1.2548,193.97,1.0681
0.95709,1.1853,0.89751,197.03
185.43,1.7022,0.96952,11.969
53.704,1.035,143.87,1.4562
32.015,164.67,0.98433,2.4021
20.317,175.11,3.554,1.0881
1.0141,1.1647,0.9679,196.92
120.02,2.795,76.354,0.9004
1.3782,22.067,165.49,11.132
1.1987,1.2134,196.62,1.0327
1.4616,93.765,3.2963,101.55
1.0488,183.91,1.0097,14.095
1.2114,196.1,1.4862,1.273
1.5762,1.0872,0.98521,196.42
10.952,187.21,0.96916,0.93693
197.01,1.0676,1.0261,0.9643
187.59,1.1276,0.93263,10.421
0.98073,0.87661,0.88467,197.33
1.6093,13.175,125.92,59.361
1.0991,0.95756,197.13,0.88015
35.456,10.192,152.7,1.7193
1.7195,0.92563,196.24,1.1827
1.322,1.4125,1.0836,196.25
185.3,0.98597,1.0113,12.768
1.0822,196.79,1.2301,0.96888
1.1614,1.713,1.0331,196.16
1.5725,1.0607,196.53,0.9043
1.2737,45.106,152.77,0.9171
45.258,0.93764,5.4748,148.4
1.2189,1.1336,196.68,1.0313
7.0513,104.7,8.0622,80.258
12.948,184.67,1.2181,1.2322
1.0138,197.12,1.0436,0.89249
196.43,1.322,1.1215,1.1983
75.989,10.511,112.53,1.039
1.0816,5.0538,193,0.93722
191.12,5.7286,2.1929,1.0224
1.097,0.95294,197.12,0.90055
184.88,1.4962,1.0996,12.595
1.1112,1.0454,193.13,4.7815
1.0891,0.99007,197.08,0.90626
1.0928,158.62,0.97419,39.38
167.44,1.2191,30.458,0.95405
197.12,1.0018,1.0112,0.93913
195.18,2.9133,0.97097,1.005
3.2603,192.33,3.5755,0.9068
1.686,186.7,10.694,0.9837
1.211,1.5089,1.1798,196.17
2.0963,58.971,0.97437,138.03
2.1077,1.1587,1.0799,195.72
159.18,1.5435,1.0337,38.314
98.885,1.2997,3.7786,96.105
4.492,1.2494,12.615,181.71
1.0699,1.0289,2.1082,195.86
196.93,1.0655,1.1005,0.97134
1.0124,1.026,0.91455,197.12
16.928,180.96,1.0809,1.0997
